"Name","Species","GRIN","Synonym","Breeding Program","Parent1","Parent2","Pedigree","Description"
"CM3_9","aestivum","","","CMT","","","PASTOR/BAV92",""
"CM3_90","aestivum","","","CMT","","","WHEAR//2*PRL/2*PASTOR",""
"CM3_91","aestivum","","","CMT","","","WHEAR//2*PRL/2*PASTOR",""
"CM3_92","aestivum","","","CMT","","","CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER/5/2*KAUZ/6/PRL/2*PASTOR",""
"CM3_93","aestivum","","","CMT","","","PRL/2*PASTOR/4/CHOIX/STAR/3/HE1/3*CNO79//2*SERI",""
"CM3_94","aestivum","","","CMT","","","PRL/2*PASTOR/4/CHOIX/STAR/3/HE1/3*CNO79//2*SERI",""
"CM4_283","aestivum","","","CMT","","","PFAU/MILAN/5/CHEN/AEGILOPS SQUARROSA (TAUS)//BCN/3/VEE#7/BOW/4/PASTOR",""
"CM4_284","aestivum","","9284","CMT","","","PRL/SARA//TSI/VEE#5/3/TILHI/4/ATTILA/2*PASTOR","CWAM2"
"CM4_285","aestivum","","","CMT","","","ELVIRA/5/CNDO/R143//ENTE/MEXI75/3/AE.SQ/4/2*OCI/6/VEE/PJN//KAUZ/3/PASTOR",""
"CM4_286","aestivum","","","CMT","","","HEILO//MILAN/MUNIA",""
"CM4_287","aestivum","","","CMT","","","KAUZ//ALTAR 84/AOS/3/MILAN/KAUZ/4/HUITES",""
"CM4_288","aestivum","","QUAIU1, 9288","CMT","","","","CWAM2"
"CM4_289","aestivum","","PAURAQUE","CMT","","","",""
"CM4_290","aestivum","","","CMT","","","FRET2*2/BRAMBLING",""
"CM4_291","aestivum","","BECARD, 9291","CMT","","","","CWAM2"
"CM4_292","aestivum","","","CMT","","","CROC_1/AE.SQUARROSA (205)//BORL95/3/PRL/SARA//TSI/VEE#5/4/FRET2",""
"CM4_293","aestivum","","","CMT","","","CROC_1/AE.SQUARROSA (205)//BORL95/3/PRL/SARA//TSI/VEE#5/4/FRET2",""
"CM4_294","aestivum","","","CMT","","","BETTY/3/CHEN/AE.SQ//2*OPATA",""
"NYBATAVIA","aestivum","PI 595085","NY73116-4","CNL","","","(Domiano/Genesee (NY5670aB-3B-12)//Burt2x//Genesee/CI12658 (NY5207aB-2B-85)/Genesee /4/ Kenya 338AC.2.E.2/3/Burt//Vogel 53(Burt sib)/Genesee (NY5513aB-4B-20))(NY6298-14)/Frederick",""
"CORNELL595","aestivum","CItr 12372","NY595b20-1-5, cuGS22","CNL","","","Nured /2/ Honor / Forward /3/ Honor",""
"FORWARD","aestivum","CItr 6691","NY123-32, NY73116-4NY595b20-1-5NY123-32NY522-68NY5954-36, cuGS21","CNL","","","Selection from Fulcaster",""
"GENESEE","aestivum","CItr 12653","CItr12653, cuGS25","CNL","","","Yorkwin /3/ (NY530c25-181-4-2, Honor*2 / Forward)",""
"HONOR","aestivum","CItr 6161","NY522-68, cuGS20","CNL","","","Selection from Dawson's Golden Chaff",""
"HOUSER","aestivum","CItr 17736","NY5954-36, cuGS31","CNL","","","Brevor / Norin 10 /4/ Honor*2 / Rosen rye /2/ Yorkwin /3/ Cornell 595 /5/ (Hope / Hussar, CItr11682) /2/ Yorkwin /6/ Genesee /5/ (KY 4097-37, CItr12658, Frondoso /3/ Trumbull /2/ Hope / Hussar) /4/ (Alaska, CItr12560) /2/ Avon",""
"CO800071","aestivum","","","CSU","","","",""
"CO800091","aestivum","","","CSU","","","",""
"CO80046","aestivum","","","CSU","","","",""
"CO900004","aestivum","","","CSU","","","",""
"CO900024","aestivum","","","CSU","","","",""
"CO900032","aestivum","","","CSU","","","",""
"CO900037","aestivum","","","CSU","","","",""
"CO900057","aestivum","","","CSU","","","",""
"CO02W237","aestivum","","","CSU","","","",""
"CO03W139","aestivum","","","CSU","","","",""
"CO04W210","aestivum","","","CSU","","","",""
"CO050270","aestivum","","","CSU","","","",""
"KS010143K-11","aestivum","","","CNL","","","",""
"KS010379M-2","aestivum","","","CNL","","","",""
"KS010514-9TM-10","aestivum","","","CNL","","","",""
"KS010957K-4","aestivum","","","KSM","","","",""
"KS010990M~8","aestivum","","","CNL","","","",""
"KS011327M~2","aestivum","","","CNL","","","",""
"KS020304K~3","aestivum","","","CNL","","","",""
"KS020648-M-6","aestivum","","","KSM","","","",""
"KS020822-M-5","aestivum","","","KSM","","","",""
"KS020947-K-13","aestivum","","","KSM","","","",""
"KS021006-NT-9","aestivum","","","KSM","","","",""
"KS030024-K-3","aestivum","","","KSM","","","",""
"KS030049-NT-7","aestivum","","","KSM","","","",""
"KS030101-M-2","aestivum","","","KSM","","","",""
"KS030124-K-4","aestivum","","","KSM","","","",""
"KS031027-FHB-8","aestivum","","","KSM","","","",""
"KS05HW121-2","aestivum","","","CNL","","","",""
"KS05HW136-3","aestivum","","","CNL","","","",""
"KS05HW15-2","aestivum","","","CNL","","","",""
"KS06O3A~50-3","aestivum","","","CNL","","","",""
"KS07F5BULK01-K-7","aestivum","","","KSM","","","",""
"KS07HW117","aestivum","","","CNL","","","",""
"KS07HW25","aestivum","","","CNL","","","",""
"KS07HW52-5","aestivum","","","CNL","","","",""
"KS07HW81","aestivum","","","CNL","","","",""
"KS08FHB-31","aestivum","","","KSM","","","",""
"KS08FHB-78","aestivum","","","KSM","","","",""
"KS08HW176-4","aestivum","","","CNL","","","",""
"KS08IFAFS1","aestivum","","","KSM","","","",""
"KS08P1-108","aestivum","","","KSM","","","",""
"KS93U50-LR42","aestivum","","","CNL","","","",""
"EVEREST","aestivum","","KS970093-8-9-1","CNL","","","",""
"KS970187-1-10","aestivum","","","CNL","","","",""
"KS980512-2-2","aestivum","","","KSM","","","T67/X84W063-9-45//K92/3/SNF/4/X86509-1-1/X84W063-9-39-2//K92",""
"KS980554-12-~9","aestivum","","","CNL","","","",""
"MT0613","aestivum","","","MSU","","","",""
"MT0614","aestivum","","","MSU","","","",""
"MT0623","aestivum","","","MSU","","","",""
"MT0624","aestivum","","","MSU","","","",""
"MT0626","aestivum","","","MSU","","","",""
"MT0627","aestivum","","","MSU","","","",""
"MT0628","aestivum","","","MSU","","","",""
"MT0638","aestivum","","","MSU","","","",""
"MT0643","aestivum","","","MSU","","","",""
"MT0645","aestivum","","","MSU","","","",""
"MT0657","aestivum","","","MSU","","","",""
"MT0663","aestivum","","","MSU","","","",""
"MT0666","aestivum","","","MSU","","","",""
"MT0669","aestivum","","","MSU","","","",""
"MT0674","aestivum","","","MSU","","","",""
"MT0713","aestivum","","","MSU","","","",""
"MT0827","aestivum","","","MSU","","","",""
"MT0832","aestivum","","","MSU","","","",""
"MT0852","aestivum","","","MSU","","","",""
"MT9453","aestivum","","","MSU","","","",""
"MT9507","aestivum","","","MSU","","","",""
"MT9508","aestivum","","","MSU","","","",""
"MT9539","aestivum","","","MSU","","","",""
"MT9542","aestivum","","","MSU","","","",""
"MT9558","aestivum","","","MSU","","","",""
"MT9565","aestivum","","","MSU","","","",""
"MT9602","aestivum","","","MSU","","","",""
"MT9619","aestivum","","","MSU","","","",""
"MT9627","aestivum","","","MSU","","","",""
"MT9628","aestivum","","","MSU","","","",""
"MT9631","aestivum","","","MSU","","","",""
"MT9644","aestivum","","","MSU","","","",""
"MT9660","aestivum","","","MSU","","","",""
"MT9662","aestivum","","","MSU","","","",""
"MT9667","aestivum","","","MSU","","","",""
"MT9675","aestivum","","","MSU","","","",""
"MT9905","aestivum","","","MSU","","","",""
"MT9918","aestivum","","","MSU","","","",""
"MT9923","aestivum","","","MSU","","","",""
"MT9931","aestivum","","","MSU","","","",""
"MT9955","aestivum","","","MSU","","","",""
"MTHW001","aestivum","","","MSU","","","",""
"MTHW0167","aestivum","","","MSU","","","",""
"MTHW0168","aestivum","","","MSU","","","",""
"MTHW9901","aestivum","","","MSU","","","",""
"MTHW9905","aestivum","","MT0245","MSU","","","",""
"MTS04120","aestivum","","","MSU","","","",""
"MTS0532","aestivum","","","MSU","","","",""
"MTS0721","aestivum","","","MSU","","","",""
"SD3854","aestivum","","","SDK","","","",""
"SD3942","aestivum","","","SDK","","","SD3367/SD3623",""
"SD3956","aestivum","","","SDK","","","",""
"SD4001","aestivum","","","SDK","","","",""
"SD4024","aestivum","","","SDK","","","",""
"SD05085-1","aestivum","","","SDK","","","",""
"SD05W030","aestivum","","","SDK","","","",""
"SD05W148-1","aestivum","","","SDK","","","",""
"SD06069","aestivum","","","SDK","","","",""
"SD06156-1","aestivum","","","SDK","","","",""
"SD06165","aestivum","","","SDK","","","",""
"SD06173","aestivum","","","SDK","","","",""
"SD06W117","aestivum","","","SDK","","","",""
"SD07056","aestivum","","","SDK","","","",""
"SD07126","aestivum","","","SDK","","","",""
"SD07165","aestivum","","","SDK","","","",""
"SD07184","aestivum","","","SDK","","","",""
"SD07204","aestivum","","","SDK","","","",""
"SD07220","aestivum","","","SDK","","","",""
"SD07W041","aestivum","","","SDK","","","",""
"SD07W053","aestivum","","","SDK","","","",""
"SD08138","aestivum","","","SDK","","","",""
"SD08174","aestivum","","","SDK","","","",""
"SD3687","aestivum","","","SDK","","","",""
"ND03/1-13","aestivum","","","NDK","","","",""
"ND03/1-15","aestivum","","","NDK","","","",""
"ND03/1-9","aestivum","","","NDK","","","",""
"ND04/3-18","aestivum","","","NDK","","","",""
"ND04/3-19","aestivum","","","NDK","","","",""
"ND04/3-20","aestivum","","","NDK","","","",""
"ND04/3-21","aestivum","","","NDK","","","",""
"ND05/1-1","aestivum","","","NDK","","","",""
"ND05/1-2","aestivum","","","NDK","","","",""
"ND05/1-3","aestivum","","","NDK","","","",""
"ND741","aestivum","","","NDK","","","",""
"ND747","aestivum","","","NDK","","","",""
"ND751","aestivum","","","NDK","","","",""
"NDSW0217","aestivum","","","NDK","","","",""
"NDSW0345","aestivum","","","NDK","","","MT9904/ALSEN",""
"NDSW0347","aestivum","","","NDK","","","",""
"NDSW0350","aestivum","","","NDK","","","ND622*3/GRANDIN//ND2891",""
"NDSW0601","aestivum","","","NDK","","","",""
"NDSW0612","aestivum","","","NDK","","","",""
"NDSW0701","aestivum","","","NDK","","","",""
"NDSW0703","aestivum","","","NDK","","","",""
"NE02533","aestivum","","","NEB","","","",""
"NE04424","aestivum","","","NEB","","","",""
"NE05549","aestivum","","","NEB","","","",""
"NE05569","aestivum","","","NEB","","","",""
"NE06436","aestivum","","","NEB","","","",""
"NE06472","aestivum","","","NEB","","","",""
"NE06549","aestivum","","","NEB","","","",""
"NE06619","aestivum","","","NEB","","","",""
"NE07688","aestivum","","","NEB","","","",""
"CA-901-580W","aestivum","","","UCD","","","",""
"CA-902-701","aestivum","","","UCD","","","",""
"CA-904-741","aestivum","","","UCD","","","EXPRESSX KNUDSON",""
"CA-904-742","aestivum","","","UCD","","","ALSEN/KEYSTONE",""
"CA-904-743","aestivum","","","UCD","","","GRANITE/KEYSTONE",""
"CA905-750","aestivum","","","UCD","","","",""
"CA905-751","aestivum","","","UCD","","","",""
"CA905-752","aestivum","","","UCD","","","",""
"CA905-776","aestivum","","","UCD","","","",""
"CA-905-780","aestivum","","","UCD","","","",""
"CA905-781","aestivum","","","UCD","","","",""
"CA-907-824","aestivum","","","UCD","","","",""
"CA907-827","aestivum","","","UCD","","","",""
"CA-907-834","aestivum","","","UCD","","","",""
"CA908-801","aestivum","","","UCD","","","GLENN/TROOPER",""
"CA9W06-788","aestivum","","","UCD","","","",""
"ID00-10701A","aestivum","","","UIA","","","",""
"ID00-475-2DH","aestivum","","","UIA","","","",""
"ID01-11205A","aestivum","","","UIA","","","",""
"ID01-11604A","aestivum","","","UIA","","","",""
"ID01-11803A","aestivum","","","UIA","","","",""
"ID01-19904A","aestivum","","","UIA","","","",""
"ID01-30105A","aestivum","","","UIA","","","",""
"ID01-49201B","aestivum","","","UIA","","","",""
"ID0576","aestivum","","","UIA","","","",""
"ID0591","aestivum","","","UIA","","","",""
"ID0663","aestivum","","","UIA","","","",""
"ID0681","aestivum","","","UIA","","","",""
"ID0682","aestivum","","","UIA","","","",""
"ID0684","aestivum","","","UIA","","","",""
"ID0685","aestivum","","","UIA","","","",""
"ID0835","aestivum","","","UIA","","","",""
"ID96-16702A","aestivum","","","UIA","","","",""
"ID98-15306A","aestivum","","","UIA","","","",""
"ID98-19010A","aestivum","","","UIA","","","",""
"ID98-19502A","aestivum","","","UIA","","","",""
"ID99-06202A","aestivum","","","UIA","","","",""
"ID99-22501A","aestivum","","","UIA","","","",""
"IDAHO377S","aestivum","","","UIA","","","",""
"IDO409","aestivum","","","UIA","","","",""
"IDO415","aestivum","","","UIA","","","",""
"IDO441","aestivum","","","UIA","","","",""
"IDO470","aestivum","","","UIA","","","",""
"IDO474","aestivum","","","UIA","","","",""
"IDO505","aestivum","","","UIA","","","",""
"IDO524","aestivum","","","UIA","","","",""
"IDO552","aestivum","","","UIA","","","",""
"IDO557","aestivum","","","UIA","","","",""
"IDO563","aestivum","","","UIA","","","",""
"IDO569","aestivum","","","UIA","","","",""
"IDO584","aestivum","","","UIA","","","",""
"IDO585","aestivum","","","UIA","","","",""
"IDO592","aestivum","","","UIA","","","",""
"IDO593","aestivum","","","UIA","","","",""
"IDO594","aestivum","","","UIA","","","",""
"IDO596","aestivum","","","UIA","","","",""
"IDO607","aestivum","","","UIA","","","",""
"IDO608","aestivum","","","UIA","","","",""
"IDO609","aestivum","","","UIA","","","",""
"IDO610","aestivum","","","UIA","","","",""
"IDO611","aestivum","","","UIA","","","",""
"IDO612","aestivum","","","UIA","","","",""
"IDO625","aestivum","","","UIA","","","",""
"IDO649","aestivum","","","UIA","","","",""
"IDO669","aestivum","","","UIA","","","",""
"IDO696","aestivum","","ID0696","UIA","","","",""
"IDO850","aestivum","","","UIA","","","",""
"IDO856","aestivum","","","UIA","","","",""
"IDO857","aestivum","","","UIA","","","",""
"IDO859","aestivum","","","UIA","","","",""
"IDO860","aestivum","","","UIA","","","",""
"IDO861","aestivum","","","UIA","","","",""
"IDO862","aestivum","","","UIA","","","",""
"IDO864","aestivum","","","UIA","","","",""
"IDO865","aestivum","","","UIA","","","",""
"IDO866","aestivum","","","UIA","","","",""
"IDO872","aestivum","","","UIA","","","",""
"WA007971","aestivum","","","WAS","","","",""
"WA008022","aestivum","","","WAS","","","",""
"WA008027","aestivum","","","WAS","","","",""
"WA008039HF","aestivum","","","WAS","","","",""
"WA008041","aestivum","","","WAS","","","",""
"WA008058","aestivum","","","WAS","","","",""
"WA008059","aestivum","","","WAS","","","",""
"WA008063","aestivum","","","WAS","","","",""
"WA008064","aestivum","","","WAS","","","",""
"WA008065","aestivum","","","WAS","","","",""
"WA008066","aestivum","","","WAS","","","",""
"WA008068","aestivum","","","WAS","","","",""
"WA008070","aestivum","","","WAS","","","",""
"WA008072","aestivum","","","WAS","","","",""
"WA008074","aestivum","","","WAS","","","",""
"WA008075","aestivum","","","WAS","","","",""
"WA008076","aestivum","","","WAS","","","",""
"WA008078","aestivum","","","WAS","","","",""
"WA008079","aestivum","","","WAS","","","",""
"WA008094","aestivum","","","WAS","","","",""
"WA008095","aestivum","","","WAS","","","",""
"WA008096","aestivum","","","WAS","","","",""
"WA008097","aestivum","","","WAS","","","",""
"WA008099","aestivum","","","WAS","","","",""
"WA008100","aestivum","","","WAS","","","",""
"WA008101","aestivum","","","WAS","","","",""
"WA008103","aestivum","","","WAS","","","",""
"WA008104","aestivum","","","WAS","","","",""
"WA008105","aestivum","","","WAS","","","",""
"WA008106","aestivum","","","WAS","","","",""
"WA008107","aestivum","","","WAS","","","",""
"WA008108","aestivum","","","WAS","","","",""
"WA008109","aestivum","","","WAS","","","",""
"WA008110","aestivum","","","WAS","","","",""
"WA008112","aestivum","","","WAS","","","",""
"WA008113","aestivum","","","WAS","","","",""
"WA008119","aestivum","","","WAS","","","",""
"WA008120","aestivum","","","WAS","","","",""
"WA008122","aestivum","","","WAS","","","",""
"WA008123","aestivum","","","WAS","","","",""
"WA008124","aestivum","","","WAS","","","",""
"WA008125","aestivum","","","WAS","","","",""
"WA008128","aestivum","","","WAS","","","",""
"WA008129","aestivum","","","WAS","","","",""
"WA008130","aestivum","","","WAS","","","",""
"WA008131","aestivum","","","WAS","","","",""
"WA008132","aestivum","","","WAS","","","",""
"WA008133","aestivum","","","WAS","","","",""
"WA7811SJ","aestivum","","","WAS","","","",""
"WA7917SJ","aestivum","","","WAS","","","",""
"WA7933","aestivum","","","WAS","","","",""
"WA7965SJ","aestivum","","","WAS","","","",""
"HAHN_1RSMA_40:9","aestivum","","HAHN_1RSMAD","UCD","","","","Near isogenic line of HAHN-1RS with the 40 9 chromosome arm engineered by Lukaszewski  2000 "
"HAHN_1RSMA_44:38","aestivum","","HAHN_1RSMAP","UCD","","","","Near isogenic line of HAHN-1RS with the 44 38 chromosome arm engineered by Lukaszewski  2000 "
"AMERICAN_BANNER","aestivum","","cuGS1, AMERICAN_BANNER-1","CNL","","","",""
"DAWSONGOLDENCHAFF","aestivum","","cuGS2, DAWSONGOLDENCHAFF-2","CNL","","","",""
"FULCASTER4862","aestivum","","cuGS3, FULCASTER4862-3","CNL","","","Fultz / Lancaster",""
"GENESEE_GIANT","aestivum","","cuGS4, GENESEE_GIANT-4","CNL","","","",""
"GOLDCOIN","aestivum","","cuGS5, GOLDCOIN-5","CNL","","","",""
"GOLDEN","aestivum","","cuGS6, GOLDEN-6","CNL","","","",""
"GRANDPRIZE","aestivum","CItr 4876","CItr4876, cuGS7, GRANDPRIZE-7","CNL","","","Unknown",""
"JONES_FIFE","aestivum","","cuGS8, JONES_FIFE-8","CNL","","","",""
"LONGBERRY#1","aestivum","","cuGS9","CNL","","","Mediterranean / Russian Velvet",""
"MARTIN","aestivum","","cuGS10, MARTIN-10","CNL","","","",""
"PRIDE_OF_GENESEE","aestivum","","cuGS11, PRIDE_OF_GENESEE-11","CNL","","","",""
"RURAL_NEW_YORKER","aestivum","","cuGS12, RURAL_NEW_YORKER-12","CNL","","","",""
"VERMONT_WINTER_REEDS","aestivum","","cuGS13, VERMONT_WINTER_REEDS-13","CNL","","","",""
"NY6432-10","aestivum","","cuGS14, NY6432-10-14","CNL","","","HN VII//ARTHUR SIB/TALBOT",""
"NY6432-18","aestivum","","cuGS15, NY6432-18-15","CNL","","","HN VII//ARTHUR SIB/TALBOT",""
"STEPHENS","aestivum","STEPHENS","cuGS16, STEPHENS-16","CNL","","","Nord Desprez/CI 13438",""
"U1254-4-9-5","aestivum","","cuGS17, U1254-4-9-5-17","CNL","","","Century2*/TA2507",""
"U1266-4-11-6","aestivum","","cuGS18, U1266-4-11-6-18","CNL","","","Century2*/TA2507",""
"U1273-5-18-8","aestivum","","cuGS19, U1273-5-18-8-19","CNL","","","Century2*/TA2507",""
"YORKWIN","aestivum","","cuGS23, YORKWIN-23","CNL","","","Dietz/Goldcoin",""
"VALPRIZE","aestivum","","cuGS24, VALPRIZE-24","CNL","","","Valley/Grandprize",""
"AVON","aestivum","","cuGS26, AVON-26","CNL","","","Genesse/4/HNR/RSNR//Hussar/Yorkwin/3/Nured",""
"ARROW","aestivum","","cuGS27, ARROW-27","CNL","","","Avon sib/Heines VII//NY Wheat-Rye selection",""
"YORKSTAR","aestivum","","cuGS28, YORKSTAR-28","OSU","","","GENESSE/3/YORKWIN//BREVOR/NORIN10",""
"TICONDEROGA","aestivum","","cuGS29, TICONDEROGA-29","CNL","","","Genesse/4/Wheat Rye selection/3/Genesse/2/PRD8/CNL595/5/Heines VII/6/Genesse/3/Brevor/Norin 10/4/Avon",""
"SUSQUEHANNA","aestivum","PI 474581","cuGS30, SUSQUEHANNA-30, MD286","CNL","","","VA68-26-331/6/Thorne*5/199-4/5/Thorne/4/Taylor*2/Norin 10/Brevor/3/Unknown",""
"PURCELL","aestivum","","cuGS32, PURCELL-32","CNL","","","",""
"BATAVIA","aestivum","","cuGS36, BATAVIA-36","CNL","","","",""
"NY94032-38","aestivum","","cuGS38","CNL","","","Pio2737w/Geneva",""
"NYW105-34-39","aestivum","","cuGS39","CNL","","","Superior/Cayuga",""
"NY93237SP-40","aestivum","","cuGS40, cuGSP40","CNL","","","92145:91009(Geneva/U1273-5-18-8)/NY73116-4W/3/Harus(20)",""
"NY94025-41","aestivum","","cuGS41","CNL","","","Pio2737w/Cayuga",""
"NYW105-17-42","aestivum","","cuGS42","CNL","","","Superior/Cayuga",""
"NYW105-93-43","aestivum","","cuGS43","CNL","","","Superior/Cayuga",""
"NYW105-82-44","aestivum","","cuGS44","CNL","","","Superior/Cayuga",""
"NY94081-45","aestivum","","cuGS45","CNL","","","Pio2737w/NY80095-6",""
"NY94032-46","aestivum","","cuGS46","CNL","","","PIO2737W/GENEVA(19)",""
"NY94032-47","aestivum","","cuGS47","CNL","","","Pio2737w/Geneva",""
"NY93244-48","aestivum","","cuGS48","CNL","","","Geneva/3/92145:91009(Geneva/U1273-5-18-8)/NY73116-4W",""
"NY94024-49","aestivum","","cuGS49","CNL","","","Diana/Cayuga",""
"NY94052-50","aestivum","","cuGS50","CNL","","","PIONEER2737W/HARUS",""
"NYW105-151-51","aestivum","","cuGS51","CNL","","","Superior/Cayuga",""
"NY93301-52","aestivum","","cuGS52","CNL","","","18cc-40/NY80095-6",""
"NY93237SP-53","aestivum","","cuGS53, cuGSP53","CNL","","","92145:91009(Geneva/U1273-5-18-8)/NY73116-4W/3/Harus",""
"NYW105-156-54","aestivum","","cuGS54","CNL","","","Superior/Cayuga",""
"NY94025-55","aestivum","","cuGS55","CNL","","","Pio2737w/Cayuga",""
"NYW105-78-56","aestivum","","cuGS56","CNL","","","Superior/Cayuga",""
"NY94046-58","aestivum","","cuGS58","CNL","","","Diana/Harus",""
"NYW105-71-59","aestivum","","cuGS59","CNL","","","Superior/Cayuga",""
"NYW105-149-60","aestivum","","cuGS60","CNL","","","Superior/Cayuga",""
"NYW105-84-61","aestivum","","cuGS61","CNL","","","Superior/Cayuga",""
"NYW105-63-62","aestivum","","cuGS62","CNL","","","Superior/Cayuga",""
"NY94025-63","aestivum","","cuGS63","CNL","","","Pio2737w/Cayuga",""
"NYW105-129-64","aestivum","","cuGS64","CNL","","","Superior/Cayuga",""
"NY94052-65","aestivum","","cuGS65","CNL","","","PIONEER2737W/HARUS",""
"NY94025-66","aestivum","","cuGS66","CNL","","","Pio2737w/Cayuga",""
"NYW105-137-67","aestivum","","cuGS67","CNL","","","Superior/Cayuga",""
"NY94032-68","aestivum","","cuGS68","CNL","","","Pio2737w/Geneva",""
"NYW105-30-69","aestivum","","cuGS69","CNL","","","Superior/Cayuga",""
"NY94025-70","aestivum","","cuGS70","CNL","","","Pio2737w/Cayuga",""
"NYW105-57-71","aestivum","","cuGS71","CNL","","","Superior/Cayuga",""
"NY93301-72","aestivum","","cuGS72","CNL","","","18cc-40/NY80095-6",""
"NYW105-159-73","aestivum","","cuGS73","CNL","","","Superior/Cayuga",""
"NYW105-79-74","aestivum","","cuGS74","CNL","","","Superior/Cayuga",""
"NY94025-75","aestivum","","cuGS75","CNL","","","Pio2737w/Cayuga",""
"NYW105-116-76","aestivum","","cuGS76","CNL","","","Superior/Cayuga",""
"NY94052-77","aestivum","","cuGS77","CNL","","","Pio2737w/Harus",""
"NY94025-78","aestivum","","cuGS78","CNL","","","Pio2737w/Cayuga",""
"NY94052-79","aestivum","","cuGS79","CNL","","","PIONEER2737W/HARUS",""
"NY94032-80","aestivum","","cuGS80","CNL","","","Pio2737w/Geneva",""
"NY93308-81","aestivum","","cuGS81","CNL","","","18cc-59/Pio2737w",""
"NY94052-6090","aestivum","","cuGS82, NY94052-6090-82","CNL","","","Pio2737w/Harus",""
"NY93306-83","aestivum","","cuGS83","CNL","","","18cc-59/Pio2548",""
"NY94052-84","aestivum","","cuGS84","CNL","","","PIONEER2737W/HARUS",""
"NY93246SP-6093","aestivum","","cuGS85, NY93246SP-6093-85","CNL","","","HARUS/3/92145:91009(GENEVA/U1273-5-18-8)/NY73116-4W",""
"NYW105-97-86","aestivum","","cuGS86","CNL","","","Superior/Cayuga",""
"NYW105-40-87","aestivum","","cuGS87","CNL","","","Superior/Cayuga",""
"NYW105-136-88","aestivum","","cuGS88","CNL","","","Superior/Cayuga",""
"NY94025-89","aestivum","","cuGS89","CNL","","","Pio2737w/Cayuga",""
"NY94025-90","aestivum","","cuGS90","CNL","","","Pio2737w/Cayuga",""
"NY94025-3243-91","aestivum","","cuGS91","CNL","","","Pio2737w/Cayuga",""
"NYW105-108-92","aestivum","","cuGS92, W105-08","CNL","","","Superior/Cayuga",""
"NY94042-93","aestivum","","cuGS93","CNL","","","Diana/Geneva",""
"NYW105-146-94","aestivum","","cuGS94","CNL","","","Superior/Cayuga",""
"NY94052-95","aestivum","","cuGS95","CNL","","","Pio2737w/Harus",""
"NYW105-54-96","aestivum","","cuGS96","CNL","","","Superior/Cayuga",""
"NY94025-97","aestivum","","cuGS97","CNL","","","Pio2737w/Cayuga",""
"NY94052-98","aestivum","","cuGS98","CNL","","","PIONEER2737W/HARUS",""
"NYW105-32-99","aestivum","","cuGS99","CNL","","","Superior/Cayuga",""
"NY93237SP-100","aestivum","","cuGS100","CNL","","","92145:91009(Geneva/U1273-5-18-8)/NY73116-4W/3/Harus",""
"NY94025-101","aestivum","","cuGS101","CNL","","","Pio2737w/Cayuga",""
"NY96049-102","aestivum","","cuGS102","CNL","","","Harus / Karena",""
"NY96009-103","aestivum","","cuGS103","CNL","","","Batavia / Geneva Resel",""
"NY94046-104","aestivum","","cuGS104","CNL","","","Diana/Harus(25)",""
"NY94025-105","aestivum","","cuGS105","CNL","","","Pio2737w/Cayuga",""
"NY94052-106","aestivum","","cuGS106","CNL","","","Pio2737w/Harus",""
"NY96067-107","aestivum","","cuGS107","CNL","","","Pio 2545 / Geneva Resel",""
"NY94035-108","aestivum","","cuGS108","CNL","","","Pio2737w/Geneva",""
"NY96002-109","aestivum","","cuGS109","CNL","","","AC Ron / Cayuga",""
"NY94046-110","aestivum","","cuGS110","CNL","","","Diana/Harus",""
"NY94052-111","aestivum","","cuGS111","CNL","","","PIONEER2737W/HARUS",""
"NY94061-112","aestivum","","cuGS112","CNL","","","NY75087-39/Pio2737w",""
"NY96052-113","aestivum","","cuGS113","CNL","","","Karena / Cayuga",""
"NY94024-114","aestivum","","cuGS114","CNL","","","Diana/Cayuga",""
"NY96017-115","aestivum","","cuGS115","CNL","","","Cayuga / Geneva Resel",""
"NY94025-116","aestivum","","cuGS116","CNL","","","Pio2737w/Cayuga",""
"NY94063-117","aestivum","","cuGS117","CNL","","","Pio2737w/NY75087-39",""
"NY94058-118","aestivum","","cuGS118","CNL","","","Diana/NY75087-39",""
"NY94052-119","aestivum","","cuGS119","CNL","","","Pio2737w/Harus",""
"NY94052-120","aestivum","","cuGS120","CNL","","","PIONEER2737W/HARUS",""
"NY94025-121","aestivum","","cuGS121","CNL","","","Pio2737w/Cayuga",""
"NY96056-122","aestivum","","cuGS122","CNL","","","Karena / Geneva Resel",""
"NY96157-123","aestivum","","cuGS123","CNL","","","NY75087-39 / Pio 2737W",""
"NY94058-124","aestivum","","cuGS124","CNL","","","Diana/NY75087-39",""
"NY94081-125","aestivum","","cuGS125","CNL","","","Pio2737w/NY80095-6",""
"NY96153-126","aestivum","","cuGS126","CNL","","","NY75087-39 / Geneva Resel",""
"NY94052-127","aestivum","","cuGS127","CNL","","","PIONEER2737W/HARUS",""
"NY96147-128","aestivum","","cuGS128","CNL","","","NY75087-39 / AC Ron",""
"NY96067-129","aestivum","","cuGS129","CNL","","","Pio 2545 / Geneva Resel",""
"NY94052-130","aestivum","","cuGS130","CNL","","","PIONEER2737W/HARUS",""
"NY96056-131","aestivum","","cuGS131","CNL","","","Karena / Geneva Resel",""
"NY96033-132","aestivum","","cuGS132","CNL","","","Diana / Pio 2737W",""
